sender,tweet_text,tweet_id
facultybrewing,At @BigRockUrbanYVR for @DineOutVanFest Winter Beer Hall! Pouring a cask of West Coast Pale Ale alongside a bunch o… https://t.co/vJQYdquhBk,822949879261470720
LammieLoves,Want to join a food crawl? Check out @vanfoodster upcoming events for @DineOutVanFest! #brunchcrawlsyvr #dovf… https://t.co/GIEkPyvbWc,822937369649086464
CommercialD,How can you go wrong with a #BrunchCrawl that includes a #bakery?!?! Get tix at https://t.co/fjnlwHewfA #TheDrive… https://t.co/lRxFUk2uDe,822936650284052480
FabFrugalVan,"Street Food City Returns to @DineOutVanFest  January 23 - 29
https://t.co/u6IslTEFEm",822935588915597313
SoberGirlsDD,Happy Saturday Everyone we hope you #DineOutVancouver Hospitality staff are keeping it all fresh and you should too… https://t.co/seyrdwnGZF,822934436312268800
Eugenie_dy,Staring #DineOutVancouver with @JoeFortesVan 🍴😋,822933839081132032
CommercialD,"Get tix now for the Feb 5th #BrunchCrawl, part of @DineOutVanFest. https://t.co/fjnlwHewfA Visit multiple spots on… https://t.co/Qf5loU3gVT",822933403385237504
DoansCBC,At @bigrockurbanyvr for the @dineoutvanfest #WinterBeerHall :) #BCBeer #community #vancouver #eastvan https://t.co/frEkNmv2aB,822927349536538624
ChantelMackie,Come to the keg on Granville island tonight for #DineOutVancouver 😋🍽,822927074788638721
jennchanphoto,Another amazing meal from 1 of the restaurants participating in the @DineOutVanFest - @MARKETjg_Van @ShangriLa_Van https://t.co/I1GmqO96K3,822922297220599808
BomberBrewing,The @DineOutVanFest #winterbeerhall is on. #casks galore. https://t.co/g9ZXJLGD4u,822917952290754560
CBCVancouver,Get your appetite ready...it's @DineOutVanFest  time 🍴 https://t.co/zZ7GT92zmk #DOVF https://t.co/iAmstu9yj0,822912965988990976
mkd99,The grand finale!  @LaMezcaleriaYVR @vanfoodster @DineOutVanFest #vanfoodster #brunchcrawlsyvr https://t.co/gd0kmXf6Z9,822911990951620608
ReyDark,Date night! #latepost #dineoutvancouver https://t.co/KdK9eXJZUf,822907371638980608
flyairnorth,"And lucky for you should be able to find a cozy, warm spot @DineOutVanFest ..enjoy the city! https://t.co/I9nNGEaalI",822906305396416512
jennchanphoto,"One of choices on the @ARCdining @DineOutVanFest menu - Albacore #TunaTartare
@FairmontWF #mydineoutstory… https://t.co/yUD4z688zW",822900469433405440
mkd99,Brunch supreme!  @Darbys_Gastown @vanfoodster @DineOutVanFest #vanfoodster #brunchcrawlsyvr https://t.co/LHSnXfRk6H,822899293203808256
FabFrugalVan,"Preview of @kayamalay   fragrant curry dishes - 3 courses for $30 during @DineOutVanFest  
https://t.co/ktLIawCzi9",822895332757565450
FabFrugalVan,"Green Tea Mochi Ice Cream 
azuki beans, strawberry compote @GyozaBarVan @DineOutVanFest #DOVF lunch menu https://t.co/R235WPNOkN",822891189791690752
FabFrugalVan,Spicy Tuna Rice Bowl   @GyozaBarVan @DineOutVanFest #DOVF lunch menu https://t.co/eNNsvhBh4j,822890446846246914
BelgardKitchen,@GailJohnsonwork for  @georgiastraight got a taste of @offtheatentrack's Railtown tour for @DineOutVanFest https://t.co/MsLtB1u6wi,822890293817176065
FabFrugalVan,Gyoza Bar Japanese Karaage Curry Rice @GyozaBarVan @DineOutVanFest #DOVF lunch menu https://t.co/mCAXVaQ1l9,822889650557579264
mkd99,Beautiful display of handmade candies. @WishingTreats @vanfoodster @DineOutVanFest #vanfoodster #brunchcrawlsyvr https://t.co/s3fvB0uwnN,822889584090451968
FabFrugalVan,Lunch @DineOutVanFest @GyozaBarVan $18.50 seaweed salad appy https://t.co/8zrLQQQCYA,822887917550829568
shelleyhayashi,Amazing pizzas here at @zero_zero_pizza #vegetarian #chorizo #eggsfrittatas #focaccia #brunchcrawlsyvr @vanfoodster… https://t.co/jcJfszKqv5,822886592834482176
FabFrugalVan,"Wine pairing for 3 courses -
@ProvenceMarina $4O @DineOutVanFest with  $25 wine pairing #DOVF https://t.co/03AVtSHBdf",822884732547395584
